,link
127,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40311&docId=475271055&qb=7Jew66eQ7KCV7IKwPTEz&enc=utf8§ion=kin.qna_ency&rank=8&search_sort=0&spq=0
128,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40311&docId=357372825&qb=7Jew66eQ7KCV7IKwPTEz&enc=utf8§ion=kin.qna_ency&rank=9&search_sort=0&spq=0
129,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40311&docId=347454587&qb=7Jew66eQ7KCV7IKwPTEz&enc=utf8§ion=kin.qna_ency&rank=10&search_sort=0&spq=0
130,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40311&docId=474825169&qb=7Jew66eQ7KCV7IKwPTE0&enc=utf8§ion=kin.qna_ency&rank=1&search_sort=0&spq=0
131,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40311&docId=474790922&qb=7Jew66eQ7KCV7IKwPTE0&enc=utf8§ion=kin.qna_ency&rank=2&search_sort=0&spq=0
132,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40311&docId=409359216&qb=7Jew66eQ7KCV7IKwPTE0&enc=utf8§ion=kin.qna_ency&rank=3&search_sort=0&spq=0
133,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40311&docId=473853874&qb=7Jew66eQ7KCV7IKwPTE0&enc=utf8§ion=kin.qna_ency&rank=4&search_sort=0&spq=0
134,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40311&docId=476206173&qb=7Jew66eQ7KCV7IKwPTE0&enc=utf8§ion=kin.qna_ency&rank=5&search_sort=0&spq=0
135,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=61004&docId=463240882&qb=7Jew66eQ7KCV7IKwPTE0&enc=utf8§ion=kin.qna_ency&rank=6&search_sort=0&spq=0
136,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40311&docId=216879956&qb=7Jew66eQ7KCV7IKwPTE0&enc=utf8§ion=kin.qna_ency&rank=7&search_sort=0&spq=0
137,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40309&docId=456119117&qb=7Jew66eQ7KCV7IKwPTE0&enc=utf8§ion=kin.qna_ency&rank=8&search_sort=0&spq=0
